ZONE,SEXE,AGE,MENAGES_2018,MENAGES_2019,MENAGES_2020,MENAGES_2021,MENAGES_2022,MENAGES_2023,MENAGES_2024,MENAGES_2025,MENAGES_2026,MENAGES_2027,MENAGES_2028,MENAGES_2029,MENAGES_2030,MENAGES_2031,MENAGES_2032,MENAGES_2033,MENAGES_2034,MENAGES_2035,MENAGES_2036,MENAGES_2037,MENAGES_2038,MENAGES_2039,MENAGES_2040,MENAGES_2041,MENAGES_2042,MENAGES_2043,MENAGES_2044,MENAGES_2045,MENAGES_2046,MENAGES_2047,MENAGES_2048,MENAGES_2049,MENAGES_2050,MENAGES_2051,MENAGES_2052,MENAGES_2053,MENAGES_2054,MENAGES_2055,MENAGES_2056,MENAGES_2057,MENAGES_2058,MENAGES_2059,MENAGES_2060,MENAGES_2061,MENAGES_2062,MENAGES_2063,MENAGES_2064,MENAGES_2065,MENAGES_2066,MENAGES_2067,MENAGES_2068,MENAGES_2069,MENAGES_2070
MEL,1,0,11,11,11,11,11,11,12,12,12,12,12,12,13,13,13,13,13,13,13,13,13,13,13,13,12,12,12,12,12,12,12,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEL,1,1,21,22,23,24,24,25,26,27,28,29,30,31,32,33,34,35,35,36,36,37,37,37,38,38,38,38,38,39,39,39,39,39,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEL,1,2,23,24,25,26,27,28,29,30,31,33,34,35,36,37,38,39,40,41,41,42,42,43,43,43,44,44,44,44,44,44,45,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEL,1,3,25,24,25,27,28,29,30,31,33,34,36,37,38,40,41,42,43,44,45,45,46,46,47,47,48,48,49,49,49,50,50,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEL,1,4,30,32,31,32,35,36,38,39,40,42,44,46,48,49,51,52,54,55,56,57,58,59,59,60,61,61,62,62,63,63,64,64,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEL,1,5,24,26,28,27,28,30,31,33,33,34,36,37,39,40,41,42,43,44,45,46,47,47,48,48,49,49,50,50,51,51,52,52,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEL,1,6,22,22,24,26,25,25,27,28,29,29,30,31,32,33,34,35,36,37,37,38,39,39,40,40,40,41,41,41,42,42,43,43,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEL,1,7,23,24,25,27,29,28,29,31,31,32,33,34,35,36,37,38,39,39,40,41,42,43,43,44,44,44,45,45,46,46,47,47,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEL,1,8,27,28,29,30,32,34,33,34,36,36,37,38,38,40,41,41,42,43,44,45,46,47,47,48,48,49,49,50,50,51,51,52,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEL,1,9,28,30,32,33,34,36,39,37,38,40,41,42,42,43,44,45,46,47,48,49,50,51,51,52,53,53,54,54,54,55,56,56,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEL,1,10,28,30,32,34,35,35,38,40,39,39,41,42,42,43,43,44,45,45,46,47,48,48,49,50,51,51,51,52,52,53,53,54,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEL,1,11,35,35,37,39,42,43,43,47,49,47,48,50,51,52,52,52,53,54,55,56,56,57,58,59,60,61,61,62,62,63,64,64,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEL,1,12,31,36,36,39,41,44,46,46,49,52,50,50,52,53,54,54,54,55,56,57,57,58,59,60,61,62,63,63,64,64,65,66,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEL,1,13,26,26,29,29,31,33,34,36,35,38,39,38,38,39,39,40,39,39,40,41,41,42,42,43,43,44,45,45,45,46,46,47,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEL,1,14,62,66,66,76,77,83,87,92,96,96,103,107,104,104,108,108,110,109,110,111,113,115,117,118,120,122,124,127,128,130,131,133,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEL,1,15,60,64,68,69,79,80,86,91,96,99,99,106,110,106,106,110,110,112,111,112,113,115,117,118,120,122,124,127,129,130,132,134,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEL,1,16,96,99,106,112,113,130,132,141,148,156,162,162,172,178,171,171,177,177,179,179,179,181,184,187,190,192,196,199,203,206,209,212,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEL,1,17,188,185,184,189,193,189,210,207,215,220,227,229,224,234,239,227,225,230,229,230,227,226,229,232,234,237,240,243,247,251,255,258,260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEL,1,18,1954,1992,1971,1980,2047,2114,2097,2314,2304,2407,2472,2553,2583,2555,2648,2698,2584,2551,2600,2577,2582,2547,2534,2553,2577,2599,2624,2653,2686,2722,2762,2804,2831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
